millis,rssi,node,sequence
10,-73.9672061757436,192.168.4.6,50032
10,-75.00302550980636,192.168.4.2,50048
10,-78.60851725139048,192.168.4.10,50048
10,-78.32022257404988,192.168.4.9,50048
10,-74.18745180072231,192.168.4.11,50048
10,-75.95963823912555,192.168.4.5,50048
10,-73.77872674389228,192.168.4.6,50048
10,-85.5899348800331,192.168.4.12,50048
10,-75.27027187588354,192.168.4.2,50064
10,-78.3336802642203,192.168.4.9,50064
10,-76.04325061853041,192.168.4.5,50064
10,-78.59550683276719,192.168.4.10,50064
10,-85.04408640294501,192.168.4.12,50064
10,-74.54338769027284,192.168.4.11,50064
10,-78.34383127782034,192.168.4.9,50080
10,-73.6365541998467,192.168.4.6,50080
10,-74.8118851849813,192.168.4.11,50080
10,-75.47186726475867,192.168.4.2,50080
10,-78.58569251636234,192.168.4.10,50080
10,-76.10632297244551,192.168.4.5,50080
10,-84.63684960076395,192.168.4.12,50096
10,-75.01442426658332,192.168.4.11,50096
10,-74.58907744692642,192.168.4.3,50096
10,-78.35148832248555,192.168.4.9,50096
10,-78.57828915683986,192.168.4.10,50096
10,-73.52930974684023,192.168.4.6,50096
10,-74.69002350496767,192.168.4.3,50112
10,-76.15390113197475,192.168.4.5,50112
10,-75.16720813979798,192.168.4.11,50112
10,-75.62393930754176,192.168.4.2,50112
10,-73.44841168539284,192.168.4.6,50112
10,-73.3873872506337,192.168.4.6,50144
10,-76.1897913682482,192.168.4.5,50144
10,-75.28245954804561,192.168.4.11,50144
10,-75.73865376765546,192.168.4.2,50144
10,-73.34135409290033,192.168.4.6,50176
10,-78.57270448542778,192.168.4.10,50208
10,-76.21686490805199,192.168.4.5,50208
10,-75.36939861839286,192.168.4.11,50208
10,-75.82518780190888,192.168.4.2,50208
10,-73.30662939007397,192.168.4.6,50208
10,-74.76617144334696,192.168.4.3,50224
10,-78.35726423071226,192.168.4.9,50224
10,-84.3315745478493,192.168.4.12,50224
10,-76.23728763795472,192.168.4.5,50224
10,-75.89046413304229,192.168.4.2,50224
10,-73.28043509317155,192.168.4.6,50224
10,-75.43498048265161,192.168.4.11,50224
10,-78.56849172840874,192.168.4.10,50224
11,-71.73760051000717,192.168.4.6,50256
11,-77.41861046084392,192.168.4.2,50336
11,-78.96553408100914,192.168.4.9,50336
11,-76.4492190941884,192.168.4.5,50336
11,-70.5737747548461,192.168.4.6,50336
11,-75.5464863244071,192.168.4.11,50416
11,-76.6090880715058,192.168.4.5,50416
11,-78.09105911424784,192.168.4.10,50416
11,-69.6958513179763,192.168.4.6,50416
11,-78.5713567366242,192.168.4.2,50416
11,-84.0856914138254,192.168.4.12,50432
11,-79.44092266244552,192.168.4.2,50432
11,-77.73091122931767,192.168.4.10,50432
11,-79.42437478907159,192.168.4.9,50432
11,-76.72968409177443,192.168.4.5,50432
11,-69.03359613158838,192.168.4.6,50432
11,-75.63059995907257,192.168.4.11,50432
11,-83.90173199672597,192.168.4.7,50432
11,-76.051898783138,192.168.4.3,50432
11,-76.82065483819635,192.168.4.5,50448
11,-80.09687351237358,192.168.4.2,50448
11,-68.534028697987,192.168.4.6,50448
11,-75.69405047852365,192.168.4.11,50448
11,-77.45923624277194,192.168.4.10,50448
11,-77.02177802533527,192.168.4.3,50448
11,-75.74191392478963,192.168.4.11,50464
11,-80.59168535440264,192.168.4.2,50464
11,-68.1571835869492,192.168.4.6,50464
11,-77.25430015566471,192.168.4.10,50464
11,-83.90058720120386,192.168.4.12,50464
11,-76.88927797116375,192.168.4.5,50464
11,-75.77801937377491,192.168.4.11,50480
11,-67.87291317433879,192.168.4.6,50480
11,-79.77049658064723,192.168.4.9,50480
11,-76.94104334160524,192.168.4.5,50480
11,-80.96494313589503,192.168.4.2,50480
11,-83.76111625245132,192.168.4.12,50480
11,-77.09970808101784,192.168.4.10,50480
11,-81.24650747937012,192.168.4.2,50496
11,-83.65597641482938,192.168.4.12,50496
11,-75.8052552614855,192.168.4.11,50496
11,-80.03159047352787,192.168.4.9,50496
11,-76.98309265285548,192.168.4.10,50496
11,-67.65847582059955,192.168.4.6,50496
11,-76.98009217928113,192.168.4.5,50496
11,-77.00954839125914,192.168.4.5,50512
11,-77.75339950945427,192.168.4.3,50512
11,-75.82580045897566,192.168.4.11,50512
11,-83.57669456240028,192.168.4.12,50512
11,-76.89512463692289,192.168.4.10,50512
11,-80.228544526201,192.168.4.9,50512
11,-67.49671653462191,192.168.4.6,50512
11,-81.45890353230594,192.168.4.2,50512
11,-75.8412985820607,192.168.4.11,50528
11,-77.03176847452058,192.168.4.5,50528
11,-67.37469457232129,192.168.4.6,50528
11,-75.85298948059429,192.168.4.11,50544
11,-81.61912297893734,192.168.4.2,50544
11,-67.28264817619582,192.168.4.6,50544
11,-77.04853003573622,192.168.4.5,50544
11,-76.8287665919447,192.168.4.10,50544
11,-80.377115297702,192.168.4.9,50544
11,-83.51690157875862,192.168.4.12,50544
12,-67.37698505928313,192.168.4.6,50560
12,-80.5301314199983,192.168.4.9,50560
12,-80.03403103373294,192.168.4.2,50560
12,-77.28025986265449,192.168.4.10,50560
12,-75.47148653073418,192.168.4.11,50560
12,-83.38990946157017,192.168.4.12,50560
12,-75.18370250337415,192.168.4.11,50576
12,-78.83832823789385,192.168.4.2,50576
12,-67.44814741368226,192.168.4.6,50576
12,-77.62084058904237,192.168.4.10,50576
12,-80.64555801146797,192.168.4.9,50624
12,-77.8777552292199,192.168.4.10,50624
12,-74.96661467630179,192.168.4.11,50624
12,-83.29412045971682,192.168.4.12,50624
12,-77.15943685467614,192.168.4.5,50624
12,-77.93635836775293,192.168.4.2,50624
12,-67.5018282278008,192.168.4.6,50624
12,-77.25596383369891,192.168.4.2,50656
12,-74.80285602334119,192.168.4.11,50656
12,-83.22186554069829,192.168.4.12,50656
12,-85.00600524864969,192.168.4.7,50656
12,-77.24309862197813,192.168.4.5,50656
12,-78.07155695440152,192.168.4.10,50656
12,-67.5423219667921,192.168.4.6,50656
12,-67.57286812978573,192.168.4.6,50688
12,-76.74271307300748,192.168.4.2,50688
12,-67.59591040982556,192.168.4.6,50704
12,-77.30620827903321,192.168.4.5,50704
12,-77.12613869595813,192.168.4.3,50704
12,-78.21774990260184,192.168.4.10,50704
12,-74.67932585225117,192.168.4.11,50704
12,-83.16736177332753,192.168.4.12,50704
12,-76.35554602482331,192.168.4.2,50704
12,-77.35381459840875,192.168.4.5,50720
12,-76.65296897816064,192.168.4.3,50720
12,-80.73262922478517,192.168.4.9,50720
12,-76.06348932529167,192.168.4.2,50720
12,-78.32802950967694,192.168.4.10,50720
12,-74.58614174934263,192.168.4.11,50720
12,-85.81091483317006,192.168.4.7,50720
12,-67.6132921893167,192.168.4.6,50720
12,-86.40640217475172,192.168.4.7,50736
12,-75.84317843845004,192.168.4.2,50736
12,-76.29603677862545,192.168.4.3,50736
12,-77.38972608565602,192.168.4.5,50736
12,-74.51584898638211,192.168.4.11,50736
12,-67.62640401061921,192.168.4.6,50736
12,-67.63629481943768,192.168.4.6,50752
12,-77.41681565975537,192.168.4.5,50752
12,-78.41121814419286,192.168.4.10,50752
12,-74.46282414233242,192.168.4.11,50752
12,-76.02678752138435,192.168.4.3,50752
12,-80.79831076789951,192.168.4.9,50752
12,-75.67698849335108,192.168.4.2,50752
12,-77.43725048663498,192.168.4.5,50768
12,-67.64375588047771,192.168.4.6,50768
12,-75.55162429438685,192.168.4.2,50768
12,-67.64938407862257,192.168.4.6,50784
12,-83.12624776697787,192.168.4.12,50784
12,-80.84785716893215,192.168.4.9,50784
12,-86.85067264706062,192.168.4.7,50784
12,-74.42282522966943,192.168.4.11,50784
12,-75.45705670564026,192.168.4.2,50784
12,-77.45266535244531,192.168.4.5,50784
12,-78.47397089691086,192.168.4.10,50784
12,-74.39265233538003,192.168.4.11,50800
12,-75.82368126585574,192.168.4.3,50800
12,-83.09523393360185,192.168.4.12,50800
12,-87.18370907995703,192.168.4.7,50800
12,-75.38572032001153,192.168.4.2,50800
12,-67.6536296697239,192.168.4.6,50800
12,-78.52130798804839,192.168.4.10,50800
13,-74.54044668074182,192.168.4.3,50896
13,-74.6154082433204,192.168.4.2,50896
13,-68.96700369916067,192.168.4.6,50896
13,-74.0343288260949,192.168.4.2,50928
13,-69.95773802452874,192.168.4.6,50928
13,-77.78364772473587,192.168.4.5,50928
13,-85.90687677137922,192.168.4.7,50992
13,-73.5100916479247,192.168.4.11,50992
13,-70.70509139185843,192.168.4.6,50992
13,-78.03332191500492,192.168.4.5,50992
13,-79.90260357441646,192.168.4.9,50992
13,-73.57244783008993,192.168.4.3,50992
13,-79.37587350870218,192.168.4.10,50992
13,-73.595995714957,192.168.4.2,50992
13,-72.84433829230368,192.168.4.11,51008
13,-79.18955828222757,192.168.4.9,51008
13,-82.58052317378433,192.168.4.12,51008
13,-84.94565980923466,192.168.4.7,51008
13,-80.02050891005214,192.168.4.10,51008
13,-78.22166185847418,192.168.4.5,51008
13,-72.84224480584638,192.168.4.3,51008
13,-71.2688520705365,192.168.4.6,51008
13,-72.29142136607103,192.168.4.3,51056
13,-82.19225569320606,192.168.4.12,51056
13,-72.3421320000671,192.168.4.11,51056
13,-80.50678502420627,192.168.4.10,51056
13,-71.69412091485736,192.168.4.6,51088
13,-71.87591163558159,192.168.4.3,51088
13,-71.96329626783596,192.168.4.11,51088
13,-80.87360394029689,192.168.4.10,51088
13,-73.26534226101565,192.168.4.2,51088
13,-78.3637347506213,192.168.4.5,51088
13,-71.67752423703172,192.168.4.11,51120
13,-78.4709064228181,192.168.4.5,51120
14,-71.43043412472508,192.168.4.3,51168
14,-70.44657131167092,192.168.4.11,51168
14,-78.26074138484167,192.168.4.5,51184
14,-80.39696261771,192.168.4.10,51184
14,-71.09439134384664,192.168.4.3,51184
14,-72.85623904881344,192.168.4.2,51184
14,-79.90452906690687,192.168.4.9,51184
14,-69.5180107579105,192.168.4.11,51184
14,-73.37548203807484,192.168.4.6,51184
14,-68.8175577314496,192.168.4.11,51200
14,-80.03741163787325,192.168.4.10,51200
14,-70.84089987047595,192.168.4.3,51200
14,-72.54763496051629,192.168.4.2,51200
14,-82.94341315709346,192.168.4.12,51200
14,-78.10220488842181,192.168.4.5,51200
14,-80.44386217292862,192.168.4.9,51200
14,-74.64380480126124,192.168.4.6,51200
14,-70.64968038674334,192.168.4.3,51216
14,-83.51004300001267,192.168.4.12,51216
14,-75.60055502547158,192.168.4.6,51216
14,-72.31484166906046,192.168.4.2,51216
14,-77.98261401384494,192.168.4.5,51216
14,-68.28917599017133,192.168.4.11,51216
14,-84.37507819902743,192.168.4.7,51216
14,-79.7661869223997,192.168.4.10,51216
14,-70.5054353339502,192.168.4.3,51232
14,-72.13923571112946,192.168.4.2,51232
14,-80.85070425106332,192.168.4.9,51232
14,-83.93747599382054,192.168.4.12,51232
14,-67.89059499477344,192.168.4.11,51232
14,-77.8924014911449,192.168.4.5,51232
14,-79.56159049405146,192.168.4.10,51232
14,-76.3222727286427,192.168.4.6,51232
14,-81.15760266854423,192.168.4.9,51248
14,-84.25990694303374,192.168.4.12,51248
14,-77.82435031850568,192.168.4.5,51248
14,-70.39662510787309,192.168.4.3,51248
14,-67.58992826562408,192.168.4.11,51248
14,-72.00676861008881,192.168.4.2,51248
14,-76.8666953270283,192.168.4.6,51248
14,-83.94494663124344,192.168.4.7,51248
14,-79.40725463856066,192.168.4.10,51248
14,-70.31454489042582,192.168.4.3,51264
14,-83.62060118565911,192.168.4.7,51264
14,-77.77301640211616,192.168.4.5,51264
14,-77.27737662849924,192.168.4.6,51264
14,-71.90684299785528,192.168.4.2,51264
14,-84.50313039442007,192.168.4.12,51264
14,-79.29083248748805,192.168.4.10,51264
14,-67.36312246439132,192.168.4.11,51264
14,-70.25262826421262,192.168.4.3,51280
14,-77.73429302866515,192.168.4.5,51280
14,-67.19203312697654,192.168.4.11,51280
14,-79.20301026874782,192.168.4.10,51280
14,-71.83146482545017,192.168.4.2,51280
14,-83.3759855349412,192.168.4.7,51280
14,-81.38910929919152,192.168.4.9,51280
14,-84.68660425449426,192.168.4.12,51280
14,-71.77460383908107,192.168.4.2,51312
14,-79.13676220484075,192.168.4.10,51312
14,-70.20592189913643,192.168.4.3,51312
14,-77.5871711371732,192.168.4.6,51312
14,-67.06297310638654,192.168.4.11,51312
14,-84.82500644511295,192.168.4.12,51328
14,-70.17068928599114,192.168.4.3,51328
14,-77.82086241374408,192.168.4.6,51328
14,-71.73171115983845,192.168.4.2,51328
14,-81.56374467363798,192.168.4.9,51328
14,-79.08678845065427,192.168.4.10,51328
14,-77.70508232827659,192.168.4.5,51328
14,-77.99714576033757,192.168.4.6,51360
14,-79.04909110585346,192.168.4.10,51360
14,-71.69935537338293,192.168.4.2,51360
14,-66.96561760097413,192.168.4.11,51360
14,-70.14411181572515,192.168.4.3,51360
14,-70.12406329071717,192.168.4.3,51376
14,-66.89217817030632,192.168.4.11,51376
14,-77.68304744491938,192.168.4.5,51376
14,-79.02065438285426,192.168.4.10,51376
14,-83.19148379035546,192.168.4.7,51376
14,-78.13012384468115,192.168.4.6,51376
14,-71.67494801679803,192.168.4.2,51376
14,-78.99920334381675,192.168.4.10,51392
14,-81.69547962191706,192.168.4.9,51392
14,-70.10893982896657,192.168.4.3,51392
14,-66.83677965992969,192.168.4.11,51392
14,-71.65653650155697,192.168.4.2,51392
14,-77.66642558792496,192.168.4.5,51392
14,-66.79499018901409,192.168.4.11,51408
14,-78.23043491352229,192.168.4.6,51408
14,-83.05231579831512,192.168.4.7,51408
14,-70.09753155353329,192.168.4.3,51408
14,-71.64264790644047,192.168.4.2,51408
14,-81.79485293992441,192.168.4.9,51408
14,-78.9830219056179,192.168.4.10,51408
14,-77.65388700873378,192.168.4.5,51408
14,-71.63217114383922,192.168.4.2,51424
14,-78.30610385236828,192.168.4.6,51424
14,-82.94733952963824,192.168.4.7,51424
14,-81.86981449311494,192.168.4.9,51424
14,-70.08892580238268,192.168.4.3,51424
14,-66.76346659988629,192.168.4.11,51424
14,-77.64442862101052,192.168.4.5,51424
14,-78.97081555320182,192.168.4.10,51424
14,-84.9294091471276,192.168.4.12,51440
14,-70.08243411542267,192.168.4.3,51440
14,-81.92636120575006,192.168.4.9,51440
14,-78.96160777837521,192.168.4.10,51440
14,-78.36318417632683,192.168.4.6,51440
14,-82.86815319595836,192.168.4.7,51440
14,-66.73968700541604,192.168.4.11,51440
14,-71.6242680727451,192.168.4.2,51440
14,-77.63729375373732,192.168.4.5,51440
15,-71.02054074709243,192.168.4.2,51472
15,-84.85742042510952,192.168.4.12,51472
15,-76.36709230630015,192.168.4.5,51472
15,-66.59073189823684,192.168.4.11,51472
15,-78.7064852616293,192.168.4.10,51472
15,-79.04603067947488,192.168.4.6,51472
15,-82.09184538341678,192.168.4.9,51472
15,-81.42658572829507,192.168.4.7,51472
15,-70.00954277152333,192.168.4.3,51472
15,-84.80311624690069,192.168.4.12,51488
15,-75.40892491003365,192.168.4.5,51488
15,-78.51403541196757,192.168.4.10,51488
15,-82.21667719175355,192.168.4.9,51488
15,-80.33915744747597,192.168.4.7,51488
15,-70.56512334787381,192.168.4.2,51488
15,-79.56113106555235,192.168.4.6,51488
15,-66.47836867624991,192.168.4.11,51488
15,-69.95455770648871,192.168.4.3,51488
15,-79.51886705441895,192.168.4.7,51504
15,-70.22158248315176,192.168.4.2,51504
15,-66.39360828169632,192.168.4.11,51504
15,-79.94969336544544,192.168.4.6,51504
15,-69.91308011511606,192.168.4.3,51504
15,-74.6861381732365,192.168.4.5,51504
15,-82.31084317542917,192.168.4.9,51504
15,-78.3688622414171,192.168.4.10,51504
15,-69.88179179009555,192.168.4.3,51520
15,-82.38187661313852,192.168.4.9,51520
15,-74.14090915696495,192.168.4.5,51520
15,-80.24280256314559,192.168.4.6,51520
15,-78.90008829726276,192.168.4.7,51520
15,-69.96243488374853,192.168.4.2,51520
15,-78.25935189633385,192.168.4.10,51520
15,-66.32966988301176,192.168.4.11,51520
15,-66.28143840830148,192.168.4.11,51536
15,-69.76694874171183,192.168.4.2,51536
15,-78.17674354911115,192.168.4.10,51536
15,-84.7621522778394,192.168.4.12,51536
15,-73.72961953991727,192.168.4.5,51536
15,-69.85818966542553,192.168.4.3,51536
15,-82.43546017989868,192.168.4.9,51536
15,-80.46390739446882,192.168.4.6,51536
15,-78.43331757893854,192.168.4.7,51584
15,-69.61948516567875,192.168.4.2,51584
15,-66.24505533958865,192.168.4.11,51584
15,-78.11442853197119,192.168.4.10,51584
15,-82.47588056105064,192.168.4.9,51584
15,-69.8403855711324,192.168.4.3,51584
15,-84.73125140022692,192.168.4.12,51584
15,-73.41936615272962,192.168.4.5,51584
15,-80.63069624592099,192.168.4.6,51584
15,-80.75651222561825,192.168.4.6,51600
15,-69.82695517967274,192.168.4.3,51600
15,-73.18532872442701,192.168.4.5,51600
15,-82.5063713870866,192.168.4.9,51600
15,-66.21761003137624,192.168.4.11,51600
15,-78.06742164354276,192.168.4.10,51600
15,-78.08121268546577,192.168.4.7,51600
15,-80.8514206119364,192.168.4.6,51616
15,-77.81560498648525,192.168.4.7,51616
15,-69.81682405972974,192.168.4.3,51616
15,-73.00878426074523,192.168.4.5,51616
15,-78.0319623327516,192.168.4.10,51616
15,-84.70794154377961,192.168.4.12,51616
15,-66.19690685900726,192.168.4.11,51616
15,-78.00521385473442,192.168.4.10,51632
15,-82.52937192408946,192.168.4.9,51632
15,-77.61524576353973,192.168.4.7,51632
15,-84.69035791994968,192.168.4.12,51632
15,-80.9230140757809,192.168.4.6,51632
15,-69.80918172170797,192.168.4.3,51632
15,-66.1812895686922,192.168.4.11,51632
15,-72.87560920458974,192.168.4.5,51632
15,-82.54672221501947,192.168.4.9,51648
15,-77.46410623477921,192.168.4.7,51648
15,-80.9770200942593,192.168.4.6,51648
