millis,node,x,y,rssi,distance,target_x,target_y
9,2,37.5,0,-77.8775,37.476,37.476,37.476
9,4,75,37.5,-77.8786,37.524,37.476,37.476
9,5,0,37.5,-77.8775,37.476,37.476,37.476
9,7,37.5,75,-77.8786,37.524,37.476,37.476
108,2,37.5,0,-77.7859,37.2133,37.2122,37.2122
108,5,0,37.5,-77.7859,37.2133,37.2122,37.2122
108,4,75,37.5,-77.9702,37.7889,37.2122,37.2122
108,7,37.5,75,-77.9702,37.7889,37.2122,37.2122
208,2,37.5,0,-77.6938,36.9512,36.9471,36.9471
208,5,0,37.5,-77.6938,36.9512,36.9471,36.9471
208,4,75,37.5,-78.0623,38.057,36.9471,36.9471
208,7,37.5,75,-78.0623,38.057,36.9471,36.9471
308,2,37.5,0,-77.6017,36.691,36.6819,36.6819
308,5,0,37.5,-77.6017,36.691,36.6819,36.6819
308,4,75,37.5,-78.1544,38.3268,36.6819,36.6819
308,7,37.5,75,-78.1544,38.3268,36.6819,36.6819
408,2,37.5,0,-77.5097,36.4328,36.4167,36.4167
408,5,0,37.5,-77.5097,36.4328,36.4167,36.4167
408,4,75,37.5,-78.2464,38.5985,36.4167,36.4167
408,7,37.5,75,-78.2464,38.5985,36.4167,36.4167
508,2,37.5,0,-77.4178,36.1767,36.1516,36.1516
508,5,0,37.5,-77.4178,36.1767,36.1516,36.1516
508,4,75,37.5,-78.3384,38.8718,36.1516,36.1516
508,7,37.5,75,-78.3384,38.8718,36.1516,36.1516
508,1,0,0,-81.9245,51.126,36.1516,36.1516
608,2,37.5,0,-77.3259,35.9226,35.8864,35.8864
608,5,0,37.5,-77.3259,35.9226,35.8864,35.8864
608,4,75,37.5,-78.4302,39.1469,35.8864,35.8864
608,7,37.5,75,-78.4302,39.1469,35.8864,35.8864
608,1,0,0,-81.8286,50.751,35.8864,35.8864
708,2,37.5,0,-77.2342,35.6707,35.6212,35.6212
708,5,0,37.5,-77.2342,35.6707,35.6212,35.6212
708,4,75,37.5,-78.522,39.4236,35.6212,35.6212
708,7,37.5,75,-78.522,39.4236,35.6212,35.6212
708,1,0,0,-81.732,50.376,35.6212,35.6212
808,2,37.5,0,-77.1427,35.421,35.3561,35.3561
808,5,0,37.5,-77.1427,35.421,35.3561,35.3561
808,4,75,37.5,-78.6137,39.7019,35.3561,35.3561
808,7,37.5,75,-78.6137,39.7019,35.3561,35.3561
808,1,0,0,-81.6347,50.001,35.3561,35.3561
908,2,37.5,0,-77.0513,35.1735,35.0909,35.0909
908,5,0,37.5,-77.0513,35.1735,35.0909,35.0909
908,4,75,37.5,-78.7052,39.9818,35.0909,35.0909
908,7,37.5,75,-78.7052,39.9818,35.0909,35.0909
908,1,0,0,-81.5367,49.626,35.0909,35.0909
1008,2,37.5,0,-76.9601,34.9283,34.8257,34.8257
1008,5,0,37.5,-76.9601,34.9283,34.8257,34.8257
1008,4,75,37.5,-78.7966,40.2632,34.8257,34.8257
1008,7,37.5,75,-78.7966,40.2632,34.8257,34.8257
1008,1,0,0,-81.438,49.251,34.8257,34.8257
1108,2,37.5,0,-76.8692,34.6853,34.5606,34.5606
1108,5,0,37.5,-76.8692,34.6853,34.5606,34.5606
1108,4,75,37.5,-78.8878,40.5461,34.5606,34.5606
1108,7,37.5,75,-78.8878,40.5461,34.5606,34.5606
1108,1,0,0,-81.3384,48.876,34.5606,34.5606
1208,2,37.5,0,-76.7785,34.4448,34.2954,34.2954
1208,5,0,37.5,-76.7785,34.4448,34.2954,34.2954
1208,4,75,37.5,-78.9789,40.8306,34.2954,34.2954
1208,7,37.5,75,-78.9789,40.8306,34.2954,34.2954
1208,1,0,0,-81.2382,48.501,34.2954,34.2954
1308,2,37.5,0,-76.6881,34.2067,34.0302,34.0302
1308,5,0,37.5,-76.6881,34.2067,34.0302,34.0302
1308,4,75,37.5,-79.0699,41.1164,34.0302,34.0302
1308,7,37.5,75,-79.0699,41.1164,34.0302,34.0302
1308,1,0,0,-81.1371,48.126,34.0302,34.0302
1408,2,37.5,0,-76.598,33.971,33.7651,33.7651
1408,5,0,37.5,-76.598,33.971,33.7651,33.7651
1408,4,75,37.5,-79.1606,41.4037,33.7651,33.7651
1408,7,37.5,75,-79.1606,41.4037,33.7651,33.7651
1408,1,0,0,-81.0353,47.751,33.7651,33.7651
1508,2,37.5,0,-76.5082,33.7379,33.4999,33.4999
1508,5,0,37.5,-76.5082,33.7379,33.4999,33.4999
1508,4,75,37.5,-79.2511,41.6924,33.4999,33.4999
1508,7,37.5,75,-79.2511,41.6924,33.4999,33.4999
1508,1,0,0,-80.9326,47.376,33.4999,33.4999
1608,2,37.5,0,-76.4189,33.5073,33.2347,33.2347
1608,5,0,37.5,-76.4189,33.5073,33.2347,33.2347
1608,4,75,37.5,-79.3415,41.9825,33.2347,33.2347
1608,7,37.5,75,-79.3415,41.9825,33.2347,33.2347
1608,1,0,0,-80.8291,47.001,33.2347,33.2347
1708,2,37.5,0,-76.3299,33.2794,32.9696,32.9696
1708,5,0,37.5,-76.3299,33.2794,32.9696,32.9696
1708,4,75,37.5,-79.4316,42.2739,32.9696,32.9696
1708,7,37.5,75,-79.4316,42.2739,32.9696,32.9696
1708,1,0,0,-80.7248,46.626,32.9696,32.9696
1808,2,37.5,0,-76.2414,33.0541,32.7044,32.7044
1808,5,0,37.5,-76.2414,33.0541,32.7044,32.7044
1808,4,75,37.5,-79.5216,42.5666,32.7044,32.7044
1808,7,37.5,75,-79.5216,42.5666,32.7044,32.7044
1808,1,0,0,-80.6197,46.251,32.7044,32.7044
1908,2,37.5,0,-76.1533,32.8316,32.4392,32.4392
1908,5,0,37.5,-76.1533,32.8316,32.4392,32.4392
1908,4,75,37.5,-79.6112,42.8606,32.4392,32.4392
1908,7,37.5,75,-79.6112,42.8606,32.4392,32.4392
1908,1,0,0,-80.5137,45.876,32.4392,32.4392
2008,2,37.5,0,-76.0658,32.6119,32.1741,32.1741
2008,5,0,37.5,-76.0658,32.6119,32.1741,32.1741
2008,4,75,37.5,-79.7007,43.1558,32.1741,32.1741
2008,7,37.5,75,-79.7007,43.1558,32.1741,32.1741
2008,1,0,0,-80.4068,45.501,32.1741,32.1741
2108,2,37.5,0,-75.9788,32.395,31.9089,31.9089
2108,5,0,37.5,-75.9788,32.395,31.9089,31.9089
2108,4,75,37.5,-79.7899,43.4523,31.9089,31.9089
2108,7,37.5,75,-79.7899,43.4523,31.9089,31.9089
2108,1,0,0,-80.2991,45.126,31.9089,31.9089
2208,2,37.5,0,-75.8924,32.1811,31.6438,31.6438
2208,5,0,37.5,-75.8924,32.1811,31.6438,31.6438
2208,4,75,37.5,-79.8789,43.75,31.6438,31.6438
2208,7,37.5,75,-79.8789,43.75,31.6438,31.6438
2208,1,0,0,-80.1904,44.751,31.6438,31.6438
2308,2,37.5,0,-75.8067,31.9701,31.3786,31.3786
2308,5,0,37.5,-75.8067,31.9701,31.3786,31.3786
2308,4,75,37.5,-79.9676,44.0488,31.3786,31.3786
2308,7,37.5,75,-79.9676,44.0488,31.3786,31.3786
2308,1,0,0,-80.0809,44.376,31.3786,31.3786
2408,2,37.5,0,-75.7216,31.7621,31.1134,31.1134
2408,5,0,37.5,-75.7216,31.7621,31.1134,31.1134
2408,1,0,0,-79.9704,44.001,31.1134,31.1134
2408,4,75,37.5,-80.0561,44.3488,31.1134,31.1134
2408,7,37.5,75,-80.0561,44.3488,31.1134,31.1134
2508,2,37.5,0,-75.6372,31.5573,30.8483,30.8483
2508,5,0,37.5,-75.6372,31.5573,30.8483,30.8483
2508,1,0,0,-79.859,43.626,30.8483,30.8483
2508,4,75,37.5,-80.1443,44.65,30.8483,30.8483
2508,7,37.5,75,-80.1443,44.65,30.8483,30.8483
2608,2,37.5,0,-75.5536,31.3555,30.5831,30.5831
2608,5,0,37.5,-75.5536,31.3555,30.5831,30.5831
2608,1,0,0,-79.7466,43.251,30.5831,30.5831
2608,4,75,37.5,-80.2322,44.9523,30.5831,30.5831
2608,7,37.5,75,-80.2322,44.9523,30.5831,30.5831
2708,2,37.5,0,-75.4708,31.157,30.3179,30.3179
2708,5,0,37.5,-75.4708,31.157,30.3179,30.3179
2708,1,0,0,-79.6332,42.876,30.3179,30.3179
2708,4,75,37.5,-80.3199,45.2556,30.3179,30.3179
2708,7,37.5,75,-80.3199,45.2556,30.3179,30.3179
2808,2,37.5,0,-75.3888,30.9617,30.0528,30.0528
2808,5,0,37.5,-75.3888,30.9617,30.0528,30.0528
2808,1,0,0,-79.5188,42.501,30.0528,30.0528
2808,4,75,37.5,-80.4072,45.56,30.0528,30.0528
2808,7,37.5,75,-80.4072,45.56,30.0528,30.0528
2908,2,37.5,0,-75.3077,30.7698,29.7876,29.7876
2908,5,0,37.5,-75.3077,30.7698,29.7876,29.7876
2908,1,0,0,-79.4034,42.126,29.7876,29.7876
2908,4,75,37.5,-80.4943,45.8655,29.7876,29.7876
2908,7,37.5,75,-80.4943,45.8655,29.7876,29.7876
3008,2,37.5,0,-75.2275,30.5813,29.5224,29.5224
3008,5,0,37.5,-75.2275,30.5813,29.5224,29.5224
3008,1,0,0,-79.287,41.751,29.5224,29.5224
3008,4,75,37.5,-80.5811,46.172,29.5224,29.5224
3008,7,37.5,75,-80.5811,46.172,29.5224,29.5224
3108,2,37.5,0,-75.1484,30.3962,29.2573,29.2573
3108,5,0,37.5,-75.1484,30.3962,29.2573,29.2573
3108,1,0,0,-79.1696,41.376,29.2573,29.2573
3108,4,75,37.5,-80.6676,46.4795,29.2573,29.2573
3108,7,37.5,75,-80.6676,46.4795,29.2573,29.2573
3208,2,37.5,0,-75.0702,30.2147,28.9921,28.9921
3208,5,0,37.5,-75.0702,30.2147,28.9921,28.9921
3208,1,0,0,-79.051,41.001,28.9921,28.9921
3208,4,75,37.5,-80.7538,46.7879,28.9921,28.9921
3208,7,37.5,75,-80.7538,46.7879,28.9921,28.9921
3308,2,37.5,0,-74.9932,30.0367,28.7269,28.7269
3308,5,0,37.5,-74.9932,30.0367,28.7269,28.7269
3308,1,0,0,-78.9314,40.626,28.7269,28.7269
3308,4,75,37.5,-80.8397,47.0974,28.7269,28.7269
3308,7,37.5,75,-80.8397,47.0974,28.7269,28.7269
3408,2,37.5,0,-74.9172,29.8624,28.4618,28.4618
3408,5,0,37.5,-74.9172,29.8624,28.4618,28.4618
