millis,node,x,y,rssi,distance,target_x,target_y
2208,2,42.5,0,-77.5231,36.4719,35.8629,35.8629
2208,5,0,42.5,-77.5231,36.4719,35.8629,35.8629
2208,4,85,42.5,-81.5096,49.5833,35.8629,35.8629
2208,7,42.5,85,-81.5096,49.5833,35.8629,35.8629
2208,1,0,0,-81.8212,50.7178,35.8629,35.8629
2308,2,42.5,0,-77.4374,36.2328,35.5624,35.5624
2308,5,0,42.5,-77.4374,36.2328,35.5624,35.5624
2308,4,85,42.5,-81.5983,49.922,35.5624,35.5624
2308,7,42.5,85,-81.5983,49.922,35.5624,35.5624
2308,1,0,0,-81.7116,50.2928,35.5624,35.5624
2408,2,42.5,0,-77.3523,35.9971,35.2619,35.2619
2408,5,0,42.5,-77.3523,35.9971,35.2619,35.2619
2408,1,0,0,-81.6011,49.8678,35.2619,35.2619
2408,4,85,42.5,-81.6868,50.262,35.2619,35.2619
2408,7,42.5,85,-81.6868,50.262,35.2619,35.2619
2508,2,42.5,0,-77.2679,35.7649,34.9614,34.9614
2508,5,0,42.5,-77.2679,35.7649,34.9614,34.9614
2508,1,0,0,-81.4897,49.4428,34.9614,34.9614
2508,4,85,42.5,-81.775,50.6033,34.9614,34.9614
2508,7,42.5,85,-81.775,50.6033,34.9614,34.9614
2608,2,42.5,0,-77.1843,35.5363,34.6608,34.6608
2608,5,0,42.5,-77.1843,35.5363,34.6608,34.6608
2608,1,0,0,-81.3773,49.0178,34.6608,34.6608
2608,4,85,42.5,-81.8629,50.9459,34.6608,34.6608
2608,7,42.5,85,-81.8629,50.9459,34.6608,34.6608
2708,2,42.5,0,-77.1015,35.3113,34.3603,34.3603
2708,5,0,42.5,-77.1015,35.3113,34.3603,34.3603
2708,1,0,0,-81.2639,48.5928,34.3603,34.3603
2708,4,85,42.5,-81.9506,51.2897,34.3603,34.3603
2708,7,42.5,85,-81.9506,51.2897,34.3603,34.3603
2808,2,42.5,0,-77.0195,35.09,34.0598,34.0598
2808,5,0,42.5,-77.0195,35.09,34.0598,34.0598
2808,1,0,0,-81.1496,48.1678,34.0598,34.0598
