millis,node,x,y,rssi,distance,target_x,target_y
9,2,45,0,-80.253,44.9712,44.9712,44.9712
9,4,90,45,-80.254,45.0288,44.9712,44.9712
9,5,0,45,-80.253,44.9712,44.9712,44.9712
9,7,45,90,-80.254,45.0288,44.9712,44.9712
108,2,45,0,-80.1613,44.656,44.6547,44.6547
108,5,0,45,-80.1613,44.656,44.6547,44.6547
108,4,90,45,-80.3456,45.3467,44.6547,44.6547
108,7,45,90,-80.3456,45.3467,44.6547,44.6547
208,2,45,0,-80.0692,44.3414,44.3365,44.3365
208,5,0,45,-80.0692,44.3414,44.3365,44.3365
208,4,90,45,-80.4378,45.6684,44.3365,44.3365
208,7,45,90,-80.4378,45.6684,44.3365,44.3365
308,2,45,0,-79.9771,44.0292,44.0183,44.0183
308,5,0,45,-79.9771,44.0292,44.0183,44.0183
308,4,90,45,-80.5298,45.9922,44.0183,44.0183
308,7,45,90,-80.5298,45.9922,44.0183,44.0183
408,2,45,0,-79.8851,43.7194,43.7001,43.7001
408,5,0,45,-79.8851,43.7194,43.7001,43.7001
408,4,90,45,-80.6218,46.3182,43.7001,43.7001
408,7,45,90,-80.6218,46.3182,43.7001,43.7001
508,2,45,0,-79.7932,43.412,43.3819,43.3819
508,5,0,45,-79.7932,43.412,43.3819,43.3819
508,4,90,45,-80.7138,46.6462,43.3819,43.3819
508,7,45,90,-80.7138,46.6462,43.3819,43.3819
608,2,45,0,-79.7014,43.1072,43.0637,43.0637
608,5,0,45,-79.7014,43.1072,43.0637,43.0637
608,4,90,45,-80.8057,46.9763,43.0637,43.0637
608,7,45,90,-80.8057,46.9763,43.0637,43.0637
708,2,45,0,-79.6097,42.8049,42.7455,42.7455
708,5,0,45,-79.6097,42.8049,42.7455,42.7455
708,4,90,45,-80.8974,47.3083,42.7455,42.7455
708,7,45,90,-80.8974,47.3083,42.7455,42.7455
808,2,45,0,-79.5181,42.5052,42.4273,42.4273
808,5,0,45,-79.5181,42.5052,42.4273,42.4273
808,4,90,45,-80.9891,47.6422,42.4273,42.4273
808,7,45,90,-80.9891,47.6422,42.4273,42.4273
908,2,45,0,-79.4267,42.2082,42.1091,42.1091
908,5,0,45,-79.4267,42.2082,42.1091,42.1091
908,4,90,45,-81.0806,47.9781,42.1091,42.1091
908,7,45,90,-81.0806,47.9781,42.1091,42.1091
1008,2,45,0,-79.3356,41.9139,41.7909,41.7909
1008,5,0,45,-79.3356,41.9139,41.7909,41.7909
1008,4,90,45,-81.172,48.3158,41.7909,41.7909
1008,7,45,90,-81.172,48.3158,41.7909,41.7909
1108,2,45,0,-79.2446,41.6224,41.4727,41.4727
1108,5,0,45,-79.2446,41.6224,41.4727,41.4727
1108,4,90,45,-81.2633,48.6553,41.4727,41.4727
1108,7,45,90,-81.2633,48.6553,41.4727,41.4727
1208,2,45,0,-79.1539,41.3338,41.1545,41.1545
1208,5,0,45,-79.1539,41.3338,41.1545,41.1545
1208,4,90,45,-81.3544,48.9967,41.1545,41.1545
1208,7,45,90,-81.3544,48.9967,41.1545,41.1545
1308,2,45,0,-79.0635,41.048,40.8363,40.8363
1308,5,0,45,-79.0635,41.048,40.8363,40.8363
1308,4,90,45,-81.4453,49.3397,40.8363,40.8363
1308,7,45,90,-81.4453,49.3397,40.8363,40.8363
1408,2,45,0,-78.9734,40.7652,40.5181,40.5181
1408,5,0,45,-78.9734,40.7652,40.5181,40.5181
1408,4,90,45,-81.536,49.6845,40.5181,40.5181
1408,7,45,90,-81.536,49.6845,40.5181,40.5181
1508,2,45,0,-78.8837,40.4855,40.1999,40.1999
1508,5,0,45,-78.8837,40.4855,40.1999,40.1999
1508,4,90,45,-81.6266,50.0309,40.1999,40.1999
1508,7,45,90,-81.6266,50.0309,40.1999,40.1999
1608,2,45,0,-78.7943,40.2088,39.8817,39.8817
1608,5,0,45,-78.7943,40.2088,39.8817,39.8817
1608,4,90,45,-81.7169,50.379,39.8817,39.8817
1608,7,45,90,-81.7169,50.379,39.8817,39.8817
1708,2,45,0,-78.7053,39.9353,39.5635,39.5635
1708,5,0,45,-78.7053,39.9353,39.5635,39.5635
1708,4,90,45,-81.8071,50.7287,39.5635,39.5635
1708,7,45,90,-81.8071,50.7287,39.5635,39.5635
1808,2,45,0,-78.6168,39.665,39.2453,39.2453
1808,5,0,45,-78.6168,39.665,39.2453,39.2453
1808,4,90,45,-81.897,51.0799,39.2453,39.2453
1808,7,45,90,-81.897,51.0799,39.2453,39.2453
1908,2,45,0,-78.5288,39.398,38.9271,38.9271
1908,5,0,45,-78.5288,39.398,38.9271,38.9271
1908,4,90,45,-81.9867,51.4327,38.9271,38.9271
1908,7,45,90,-81.9867,51.4327,38.9271,38.9271
2008,2,45,0,-78.4412,39.1343,38.6089,38.6089
2008,5,0,45,-78.4412,39.1343,38.6089,38.6089
2108,2,45,0,-78.3542,38.8741,38.2907,38.2907
2108,5,0,45,-78.3542,38.8741,38.2907,38.2907
2208,2,45,0,-78.2679,38.6173,37.9725,37.9725
2208,5,0,45,-78.2679,38.6173,37.9725,37.9725
2308,2,45,0,-78.1821,38.3641,37.6543,37.6543
2308,5,0,45,-78.1821,38.3641,37.6543,37.6543
2408,2,45,0,-78.097,38.1146,37.3361,37.3361
2408,5,0,45,-78.097,38.1146,37.3361,37.3361
2508,2,45,0,-78.0126,37.8687,37.0179,37.0179
2508,5,0,45,-78.0126,37.8687,37.0179,37.0179
2608,2,45,0,-77.929,37.6266,36.6997,36.6997
2608,5,0,45,-77.929,37.6266,36.6997,36.6997
2708,2,45,0,-77.8462,37.3884,36.3815,36.3815
2708,5,0,45,-77.8462,37.3884,36.3815,36.3815
2808,2,45,0,-77.7642,37.1541,36.0633,36.0633
