node,millis,rssi
192.168.4.6,46960,-93
192.168.4.2,46960,-70
192.168.4.3,46976,-80
192.168.4.6,46976,-97
192.168.4.2,46976,-73
192.168.4.6,46992,-91
192.168.4.2,46992,-74
192.168.4.3,47008,-82
192.168.4.6,47008,-90
192.168.4.2,47008,-69
192.168.4.3,47024,-79
192.168.4.6,47024,-88
192.168.4.2,47024,-69
192.168.4.3,47056,-81
192.168.4.2,47056,-71
192.168.4.3,47072,-76
192.168.4.2,47072,-71
192.168.4.3,47104,-79
192.168.4.6,47104,-93
192.168.4.2,47104,-66
192.168.4.3,47120,-83
192.168.4.6,47120,-90
192.168.4.2,47120,-67
192.168.4.3,47168,-79
192.168.4.6,47168,-92
192.168.4.2,47168,-67
192.168.4.3,47216,-77
192.168.4.2,47216,-63
192.168.4.3,47232,-74
192.168.4.3,47248,-79
192.168.4.6,47248,-93
192.168.4.2,47248,-68
192.168.4.3,47264,-87
192.168.4.6,47264,-92
192.168.4.2,47264,-65
192.168.4.3,47280,-82
192.168.4.6,47280,-94
192.168.4.2,47280,-69
192.168.4.3,47296,-78
192.168.4.6,47296,-89
192.168.4.2,47296,-64
192.168.4.3,47312,-78
192.168.4.6,47312,-89
192.168.4.2,47312,-67
192.168.4.3,47360,-84
192.168.4.2,47360,-69
192.168.4.3,47376,-87
192.168.4.6,47376,-93
192.168.4.2,47376,-70
192.168.4.3,47392,-78
192.168.4.6,47392,-87
192.168.4.2,47392,-69
192.168.4.3,47408,-79
192.168.4.6,47408,-86
192.168.4.2,47408,-70
192.168.4.3,47424,-77
192.168.4.6,47424,-90
192.168.4.2,47424,-66
192.168.4.3,47440,-82
192.168.4.6,47440,-87
192.168.4.2,47440,-67
192.168.4.3,47456,-84
192.168.4.6,47456,-88
192.168.4.2,47456,-66
192.168.4.3,47472,-82
192.168.4.6,47472,-87
192.168.4.2,47472,-66
192.168.4.6,47488,-85
192.168.4.2,47488,-62
192.168.4.3,47536,-86
192.168.4.6,47536,-89
192.168.4.2,47536,-64
192.168.4.3,47552,-84
192.168.4.6,47552,-93
192.168.4.2,47552,-68
192.168.4.3,47568,-81
192.168.4.6,47568,-89
192.168.4.2,47568,-70
192.168.4.6,47584,-87
192.168.4.2,47584,-67
192.168.4.3,47600,-84
192.168.4.2,47600,-66
192.168.4.3,47616,-80
192.168.4.2,47616,-67
192.168.4.3,47632,-82
192.168.4.6,47632,-90
192.168.4.2,47632,-65
192.168.4.3,47648,-79
192.168.4.6,47648,-87
192.168.4.2,47648,-65
192.168.4.3,47680,-76
192.168.4.6,47680,-94
192.168.4.3,47696,-75
192.168.4.2,47696,-65
192.168.4.6,47712,-85
192.168.4.2,47712,-70
192.168.4.6,47728,-90
192.168.4.2,47728,-68
192.168.4.3,47744,-73
192.168.4.6,47744,-93
192.168.4.2,47744,-68
192.168.4.3,47776,-73
192.168.4.6,47776,-87
192.168.4.2,47776,-59
192.168.4.3,47792,-73
192.168.4.6,47792,-94
192.168.4.2,47792,-59
192.168.4.3,47808,-74
192.168.4.6,47808,-86
192.168.4.2,47808,-65
192.168.4.3,47824,-76
192.168.4.6,47824,-84
192.168.4.2,47824,-67
192.168.4.3,47840,-77
192.168.4.6,47840,-86
192.168.4.2,47840,-67
192.168.4.3,47856,-77
192.168.4.6,47856,-85
192.168.4.2,47856,-69
192.168.4.3,47888,-82
192.168.4.6,47888,-81
192.168.4.3,47904,-77
192.168.4.6,47904,-87
192.168.4.2,47904,-65
192.168.4.3,47936,-79
192.168.4.6,47936,-86
192.168.4.3,47952,-79
192.168.4.6,47952,-84
192.168.4.2,47952,-73
192.168.4.4,47952,-76
192.168.4.3,47984,-73
192.168.4.6,47984,-84
192.168.4.4,47984,-77
192.168.4.3,48000,-75
192.168.4.6,48000,-82
192.168.4.2,48000,-75
192.168.4.3,48048,-76
192.168.4.6,48048,-90
192.168.4.2,48048,-77
192.168.4.3,48064,-79
192.168.4.6,48064,-87
192.168.4.3,48080,-79
192.168.4.6,48080,-81
192.168.4.2,48080,-75
192.168.4.4,48080,-75
192.168.4.3,48112,-75
192.168.4.6,48112,-82
192.168.4.2,48112,-77
192.168.4.3,48128,-76
192.168.4.6,48128,-83
192.168.4.2,48128,-78
192.168.4.4,48128,-76
192.168.4.3,48160,-77
192.168.4.6,48160,-90
192.168.4.2,48160,-74
192.168.4.4,48160,-77
192.168.4.3,48176,-74
192.168.4.6,48176,-89
192.168.4.2,48176,-76
192.168.4.3,48208,-76
192.168.4.6,48208,-80
192.168.4.4,48208,-76
192.168.4.3,48224,-77
192.168.4.6,48224,-80
192.168.4.4,48224,-74
192.168.4.3,48256,-75
192.168.4.6,48256,-86
192.168.4.2,48256,-74
192.168.4.4,48256,-73
192.168.4.3,48272,-77
192.168.4.6,48272,-86
192.168.4.2,48272,-72
192.168.4.4,48272,-74
192.168.4.3,48288,-74
192.168.4.6,48288,-84
192.168.4.2,48288,-75
192.168.4.4,48288,-74
192.168.4.6,48304,-87
192.168.4.2,48304,-74
192.168.4.4,48304,-76
192.168.4.6,48320,-82
192.168.4.2,48320,-75
192.168.4.4,48320,-75
192.168.4.3,48336,-74
192.168.4.6,48336,-82
192.168.4.2,48336,-77
192.168.4.4,48336,-78
192.168.4.3,48352,-76
192.168.4.6,48352,-81
192.168.4.4,48352,-74
192.168.4.3,48368,-78
192.168.4.6,48368,-88
192.168.4.4,48368,-75
192.168.4.3,48384,-76
192.168.4.6,48384,-88
192.168.4.2,48384,-77
192.168.4.4,48384,-77
192.168.4.3,48400,-71
192.168.4.6,48400,-88
192.168.4.2,48400,-74
192.168.4.3,48416,-74
192.168.4.6,48416,-84
192.168.4.2,48416,-73
192.168.4.3,48448,-73
192.168.4.6,48448,-79
192.168.4.2,48448,-75
192.168.4.4,48448,-74
192.168.4.3,48464,-75
192.168.4.6,48464,-84
192.168.4.2,48464,-75
192.168.4.4,48464,-73
192.168.4.3,48480,-76
192.168.4.6,48480,-86
192.168.4.2,48480,-75
192.168.4.4,48480,-73
192.168.4.3,48496,-73
192.168.4.6,48496,-84
192.168.4.2,48496,-75
192.168.4.4,48496,-76
192.168.4.3,48512,-74
192.168.4.6,48512,-89
192.168.4.2,48512,-72
192.168.4.4,48512,-74
192.168.4.3,48528,-72
192.168.4.6,48528,-85
192.168.4.2,48528,-72
192.168.4.4,48528,-73
192.168.4.3,48544,-76
192.168.4.6,48544,-79
192.168.4.2,48544,-75
192.168.4.4,48544,-74
192.168.4.3,48560,-75
